wn_obs,wn_obs_unc,I_obs,snr_obs
25.27355170148272,7.2082480079e-06,1869.8657114,11.283104397
25.27378627963108,3.3281978072e-06,10816.195345,50.867586371
25.27503135994808,1.1518286984e-05,1823.1083778,8.1264504383
25.2767584598067,1.014497506e-06,23661.699158,116.33970347
25.279356246539272,4.8961606183e-06,10089.633502,38.149051584
25.28018840803523,1.5607775851e-05,2784.8755355,12.050949168
25.28117452778405,9.4890278111e-07,38044.984825,223.50952617
25.28388200454586,2.7700991506e-06,10138.410241,35.110507873
25.28485081083816,9.2681734804e-06,3966.9812125,18.655182837
25.28677773983972,1.0672272454e-06,163274.59184,721.47889651
25.28762616386429,1.0833918474e-06,37334.113971,154.65625789
25.28817961694253,1.6432850191e-05,1299.1554513,5.7530565654
25.29044644786217,1.5892807311e-05,1273.7422429,5.8016717056
25.290980423019416,9.9301235463e-07,114360.08083,618.34813127
25.291733872781393,5.9969810612e-06,8627.3800584,33.685600364
25.292591017068844,2.9488247211e-06,5645.7636208,29.78750311
25.29292341484391,7.1171874221e-06,3994.6901379,14.633729278
25.29318359569351,2.8046810847e-06,8376.2346377,33.73978201
25.29431658202446,9.3993725555e-06,1317.0716904,8.3051259172
25.295261090334503,1.1604563189e-06,296357.12135,1077.2639025
25.29654924559399,2.8882405544e-06,10787.469227,34.317392643
25.29691395480566,9.882759915e-07,20737.84317,100.88689118
25.299788717292028,6.8886547857e-06,6299.3810004,15.666229772
25.30037868872014,7.1582862115e-06,3332.6464972,13.707397769
25.300885176524933,2.0023507055e-06,52000.989411,216.89999978
25.30147825714351,1.0857499159e-05,4004.681904,17.50912995
25.30195254279895,1.0384506754e-06,451032.55869,2131.7786721
25.30264155550758,1.2936911476e-05,3585.1212473,15.008761026
25.303649293027703,1.0691934546e-05,1160.1228696,7.3702562182
25.30443630092611,1.400247481e-05,3609.6305953,13.448325193
25.30461902743038,3.5326222047e-06,7529.3972541,45.96628159
25.30670846133244,2.0175105205e-06,21631.048042,92.164058629
25.307461817053483,6.8400039816e-06,1872.2940579,10.946902743
25.308150545273968,6.8639272492e-06,5712.36635,25.403484919
25.30853300301905,9.3743465249e-06,1125.1512965,7.8742293476
25.31167076887125,6.9020057747e-06,5985.4857278,24.773242444
25.31286935809823,5.4612126837e-06,10049.363468,34.552947122
25.31447575693583,1.1830634401e-05,2106.8809131,8.3438443069
25.3158279699701,8.4528725497e-06,1714.8907106,9.725351264
25.31656486976165,1.841899855e-06,13809.341375,54.775748733
25.316794346327192,6.9998390458e-06,10253.765292,29.307159973
25.3173566282052,1.9950008645e-06,9603.8754511,45.637629809
