lev_id,E_calc,J,P,lev_name
99,15.68953,11/2,0,id 99 E_c 15689.53 4f(4)5I1.5d_4I 11/2
100,15.76684,15/2,1,id 100 E_c 15766.84 4f(3)4I1.5d(2)3F2_6I 15/2
101,15.77568,11/2,0,id 101 E_c 15775.68 4f(4)5F1.6s_6F 11/2
102,15.82259,5/2,1,id 102 E_c 15822.59 4f(3)4I1.5d_5H.6s_6H 5/2
103,15.82319,15/2,1,id 103 E_c 15823.19 4f(3)4I1.5d_5L.6s_4L 15/2
104,15.86345,11/2,0,id 104 E_c 15863.45 4f(4)3K2.6s_4K 11/2
105,15.94372,7/2,0,id 105 E_c 15943.72 4f(4)5F1.6s_4F 7/2
106,16.01308,15/2,0,id 106 E_c 16013.08 4f(4)5I1.5d_6H 15/2
107,16.05648,9/2,1,id 107 E_c 16056.48 4f(3)4I1.5d(2)3F2_4I 9/2
108,16.05783,19/2,0,id 108 E_c 16057.83 4f(4)5I1.5d_4L 19/2
109,16.20033,3/2,0,id 109 E_c 16200.33 4f(4)5S0.6s_4S 3/2
110,16.21812,15/2,0,id 110 E_c 16218.12 4f(4)5I1.5d_4K 15/2
111,16.22956,7/2,1,id 111 E_c 16229.56 4f(3)4I1.5d_5H.6s_6H 7/2
112,16.24569,13/2,0,id 112 E_c 16245.69 4f(4)3K2.6s_4K 13/2
113,16.29007,19/2,1,id 113 E_c 16290.07 4f(3)4I1.5d(2)3F2_6K 19/2
114,16.39596,21/2,1,id 114 E_c 16395.96 4f(3)4I1.5d(2)3F2_6L 21/2
115,16.44809,9/2,1,id 115 E_c 16448.09 4f(3)4I1.5d_3I.6s_4I 9/2
116,16.53688,19/2,1,id 116 E_c 16536.88 4f(3)4I1.5d_5K.6s_6K 19/2
117,16.58458,11/2,0,id 117 E_c 16584.58 4f(4)5I1.5d_4G 11/2
118,16.59514,11/2,1,id 118 E_c 16595.14 4f(3)4I1.5d(2)3F2_6H 11/2
119,16.74427,7/2,1,id 119 E_c 16744.27 4f(3)4I1.5d(2)3F2_4H 7/2
120,16.94626,13/2,0,id 120 E_c 16946.26 4f(4)5I1.5d_4I 13/2
121,16.9699,9/2,0,id 121 E_c 16969.9 4f(4)5F1.6s_4F 9/2
122,17.03732,3/2,1,id 122 E_c 17037.32 4f(3)4I1.5d(2)3F2_6G 3/2
123,17.04852,9/2,1,id 123 E_c 17048.52 4f(3)4I1.5d(2)3P2_6K 9/2
124,17.15805,21/2,1,id 124 E_c 17158.05 4f(3)4I1.5d_5L.6s_6L 21/2
