wn_calc,gA_calc,upper_lev_id,lower_lev_id
18.691,19296000,363,20
15.93,9867600,363,39
10.902,78642000,363,108
20.197,3.6684e+08,414,20
12.407,7183800,414,108
13.966,3848800,617,179
12.392,720000,617,215
14.162,7916000,628,179
14.388,1131200,635,179
12.814,5152000,635,215
12.322,1172400,635,226
15.668,1431600,617,179
13.602,2737600,617,226
17.417,440400,635,179
15.351,5504000,635,226
24.366,750400,617,27
13.801,531600,617,183
12.162,2366800,617,220
10.743,424000,617,259
13.997,15496000,628,183
24.788,4076000,635,27
14.779,13904000,635,172
14.223,842400,635,183
12.584,1690000,635,220
11.165,573200,635,259
26.068,541600,617,27
13.864,1309600,617,220
12.445,2995200,617,259
17.808,1154800,635,172
24.064,6428000,617,30
21.599,642800,617,56
15.197,2371200,617,153
14.053,6872000,617,176
11.818,415600,617,227
24.26,485600,628,30
15.393,438000,628,153
14.249,782400,628,176
13.797,11612000,628,188
24.486,2998800,635,30
22.021,2470800,635,56
15.619,7380000,635,153
14.475,4520000,635,176
12.24,1165600,635,227
25.766,3479600,617,30
24.256,934800,617,44
16.899,10440000,617,153
15.755,6056000,617,176
15.303,2135600,617,188
13.52,1354800,617,227
25.05,2062800,635,56
18.648,1002000,635,153
15.269,445200,635,227
11.781,31224000,211,27
14.3,4710000,639,183
12.661,1561200,639,220
14.336,4108200,642,183
15.406,626400,639,183
11.479,6108000,211,30
14.099,1018800,639,188
12.316,7914000,639,227
14.136,16032000,642,188
25.669,798000,639,30
23.204,837000,639,56
15.658,4923600,639,176
15.205,4220400,639,188
13.423,909000,639,227
13.006,9366000,211,21
10.994,963000,211,34
24.078,5418600,639,34
20.833,1819800,639,72
15.243,3628800,639,159
14.049,4120800,639,190
13.839,2631000,639,194
11.886,4038600,639,236
10.493,937800,639,279
14.086,1489800,642,190
13.875,30402000,642,194
25.184,9036000,639,34
16.349,1896600,639,159
15.156,13482000,639,190
14.945,10650000,639,194
12.992,11160000,639,236
11.955,1678200,639,274
11.6,1123800,639,279
12.855,6120800,244,30
11.345,3844800,244,44
10.39,30072000,244,56
14.383,2990400,244,21
11.44,16608000,244,43
10.47,12808000,244,54
11.043,988800,609,244
28.657,6826400,652,244
13.653,2619200,244,23
10.598,1364800,244,53
14.571,13360000,210,16
11.442,4116000,210,31
19.675,2.398e+08,273,7
10.342,1239000,273,64
10.001,5175000,273,71
14.14,1721000,281,31
10.798,1576000,281,64
10.981,19130000,210,34
15.236,1599000,273,21
12.293,4971000,273,43
13.679,2217000,281,34
11.779,1839000,281,54
10.434,42090000,281,72
27.804,3588000,652,273
15.387,24340000,210,14
10.265,11030000,210,41
17.63,85990000,273,14
11.451,2077000,273,53
10.383,2214000,273,62
11.906,12650000,281,53
10.839,12820000,281,62
20.621,51960000,222,2
18.905,50472000,222,5
23.408,50664000,299,2
21.691,3.5364e+08,299,5
22.524,6315600,327,5
19.6,2.5464e+08,222,4
17.52,10800000,222,8
22.386,36468000,299,4
20.306,4093200,299,8
23.219,14352000,327,4
21.138,9.45e+08,327,8
21.478,46884000,222,1
20.236,1.3776e+08,222,3
24.264,4.1436e+08,299,1
23.023,1.9296e+08,299,3
23.855,7621200,327,3
20.788,2820000,610,59
21.484,75320000,247,2
19.767,2.03e+08,247,5
24.232,1.20232e+09,325,2
22.515,1.23396e+08,325,5
24.09,2398200,375,5
20.462,4.2616e+08,247,4
23.211,1.5316e+08,325,4
21.13,14658000,325,8
22.705,3411800,375,8
19.324,23128000,247,6
22.072,3122000,325,6
23.647,7833000,375,6
21.271,1.26238e+09,375,12
20.593,40300000,610,61
19.324,43180000,610,80
21.745,18016000,282,4
19.665,1.7856e+08,282,8
22.439,3553600,301,4
20.359,79696000,301,8
22.96,27232000,316,4
20.88,6.7808e+08,316,8
24.544,1.23072e+09,364,4
24.72,3.6576e+08,371,4
22.639,29248000,371,8
20.607,5.32e+08,282,6
21.3,1611200,301,6
18.924,1.41056e+08,301,12
21.822,76064000,316,6
19.445,6758400,316,12
23.405,52128000,364,6
21.029,2.3152e+08,364,12
23.581,1.00272e+08,371,6
21.205,6.3312e+08,371,12
19.381,9931200,282,9
20.075,9.2432e+08,301,9
20.596,61968000,316,9
22.18,87408000,364,9
22.356,1.3624e+08,371,9
21.838,1.31598e+08,317,6
19.461,2.5704e+08,317,12
23.395,16542000,363,6
21.019,1.02564e+09,363,12
24.901,1.77948e+09,414,6
22.525,14904000,414,12
20.612,5.9436e+08,317,9
22.17,89298000,363,9
23.676,1.09044e+08,414,9
20.952,5932000,617,59
21.149,903200,628,59
22.655,83000000,617,59
24.404,906000,635,59
20.757,13704000,617,61
19.488,1e+08,617,80
17.85,703200,617,109
20.953,1316000,628,61
19.684,10604000,628,80
18.046,10212000,628,109
21.179,67840000,635,61
19.91,52640000,635,80
15.088,634800,635,162
22.459,3190400,617,61
21.19,830000,617,80
19.552,1022800,617,109
24.208,3798800,635,61
22.939,28328000,635,80
21.301,1199600,635,109
18.117,548400,635,162
20.401,49880000,617,70
19.134,11900000,617,88
18.872,8720000,617,93
20.597,3560000,628,70
19.33,1.4136e+08,628,88
19.068,3306000,628,93
20.823,1.05e+08,635,70
19.294,23892000,635,93
22.103,3592400,617,70
20.836,936400,617,88
20.574,1.1364e+08,617,93
23.852,1972000,635,70
22.585,1490000,635,88
22.323,10672000,635,93
21.256,1643400,639,61
19.987,33618000,639,80
18.349,1480800,639,109
20.023,4048200,642,80
18.385,53154000,642,109
22.362,84840000,639,61
21.093,46314000,639,80
19.455,1252800,639,109
20.9,42258000,639,70
19.633,1280400,639,88
19.371,1.0458e+08,639,93
20.936,4815000,642,70
19.669,1.956e+08,642,88
19.407,606600,642,93
22.006,1.4502e+08,639,70
20.739,2181000,639,88
20.477,30084000,639,93
21.465,4.8726e+08,211,0
20.346,1.1904e+08,639,75
18.605,6414000,639,105
20.383,3991200,642,75
21.452,23904000,639,75
22.294,71072000,244,1
21.052,5.8768e+08,244,3
20.048,1.735e+08,210,2
18.331,12340000,210,5
22.29,11270000,273,2
20.574,2150000,273,5
22.746,32490000,281,2
21.029,7.053e+08,281,5
23.695,8.423e+08,273,0
20.904,1.954e+08,210,1
19.663,1.973e+08,210,3
23.147,38740000,273,1
21.905,1.504e+08,273,3
22.361,14180000,281,3
