wn_calc,gA_calc,upper_lev_id,lower_lev_id
136.6376,589200,856,37
136.6311,142800,799,7
136.6273,1213000,851,25
136.6182,3250000,850,25
136.6144,30950000,772,0
136.6097,91300000,846,22
136.5974,26220000,852,33
136.553,719800,798,7
136.5481,899400,786,2
136.5222,2462000,851,26
136.5031,827500,770,0
136.461,137400,797,7
136.4186,4343000,816,8
136.3959,107600,784,2
136.3858,1203000,849,26
136.3838,7087000,820,9
136.3736,12340000,819,9
136.3716,113800,776,1
136.352,6.559e+08,846,23
136.3474,56030000,815,8
136.277,12230000,768,0
136.2719,64350000,845,22
136.152,97580000,846,24
136.0142,1.347e+09,845,23
135.9369,4114000,847,25
135.924,27290000,844,22
135.9074,52720000,848,26
135.8378,132100,773,1
135.8318,1.557e+08,847,26
135.827,4111000,817,9
135.7907,9248000,820,10
135.7647,152100,814,8
135.7585,6187000,842,19
135.67,960500,772,1
135.6663,46180000,844,23
135.657,1.128e+08,839,19
135.5905,3768000,763,0
135.5645,1386000,771,1
135.5644,25990000,816,9
135.5587,32590000,770,1
135.54,1.015e+08,792,3
135.5081,301500,848,27
135.4932,925400,815,9
135.4663,7.697e+08,844,24
135.4193,18780000,790,3
135.3993,91580000,842,20
135.3843,130200,846,26
135.3702,2.118e+08,843,23
135.3326,536900,768,1
135.3172,4676000,840,20
135.3022,3090000,853,35
135.2978,2031000,839,20
135.2885,106700,830,15
135.2339,20200000,817,10
135.2094,61830000,852,35
135.112,316800,831,16
135.0635,244600,759,0
135.0465,536800,845,26
135.0239,2536000,842,21
135.0135,1.833e+09,855,36
135.0102,429600,830,16
134.9897,646100,793,4
134.985,73510000,846,27
134.9713,265500,816,10
134.9418,63000000,840,21
134.9215,197700,811,8
134.9153,25170000,771,2
134.9105,1707000,814,9
134.9095,1656000,770,2
134.9058,13200000,792,4
134.9023,278300,817,11
134.8972,252200,829,16
134.8591,3167000,791,4
134.8506,179800,828,16
134.8057,584100,827,16
134.797,6.074e+08,787,3
134.7851,32510000,790,4
134.6986,13750000,844,26
134.6786,114100,826,16
134.6681,113400,809,8
134.6472,1.899e+08,845,27
134.6461,188300,763,1
134.6398,5.494e+08,834,18
134.6014,137500,825,16
134.5901,359900,829,17
134.4992,5578000,846,28
134.4986,159500,827,17
134.4884,185600,793,5
134.4391,2505000,762,1
134.4091,3386000,851,30
134.4,1420000,850,30
134.3715,302500,826,17
134.3695,112700,823,16
134.3671,1.196e+09,783,3
134.3614,72180000,782,3
134.3578,3894000,791,5
134.3174,686100,814,10
134.2993,16550000,844,27
134.2838,10220000,790,5
134.2578,137400,824,17
134.2267,347900,780,3
134.1881,452300,789,5
134.1628,46700000,787,4
134.0829,4254000,786,4
134.0412,311600,757,0
134.0032,1.059e+08,843,27
133.9884,1957000,791,6
133.9858,780700,814,11
133.9426,831800,849,32
133.9307,5.466e+08,784,4
133.896,373300,831,18
133.8796,391300,810,9
133.8139,106400,809,9
133.8135,2.977e+08,844,28
133.8059,4403000,851,33
133.7943,1.264e+08,848,30
133.7942,18140000,830,18
133.7927,9107000,854,37
133.7899,442700,762,2
133.7477,243900,851,34
133.7386,116900,850,34
133.7329,1.325e+08,783,4
133.7272,8104000,782,4
133.7187,2069000,847,30
133.7016,1736000,761,2
133.6893,1182000,812,10
133.6695,1489000,849,33
133.6615,26100000,787,5
133.6487,11730000,756,0
133.6226,497100,853,37
133.5925,8.861e+08,780,4
133.5816,1622000,786,5
133.5298,1183000,852,37
133.4859,6926000,753,0
133.4712,16880000,752,0
133.4642,13400000,848,32
133.4636,4005000,778,4
133.4294,87060000,784,5
133.3577,2725000,812,11
133.3044,3.11e+09,841,22
