L1,L2,wn,wn_unc,I_obs,snr
10,311,39.5924628,6.51e-06,18080.42514,1379
27,340,39.5971143,3.93e-06,1759.149375,194
23,332,39.5977854,6e-06,6992.442738,516
293,51,39.624116,0.001,12998.44703,1822
32,346,39.624116,0.001,12998.44703,1822
37,367,39.6576307,4.789285714e-05,221.9805128,14
9,310,39.6733906,3.585e-06,12614.28489,1911
313,73,39.699275,0.001,242.8852744,34
27,335,39.6993748,0.001,334.4836778,14
27,341,39.7109953,5.19e-06,2127.250464,177
314,83,39.7185552,8.775e-05,52.59410844,6
30,346,39.7249217,8.2125e-05,226.4647964,8
292,49,39.7889175,0.001,69.58850971,13
22,332,39.7907122,0.001,1099.472725,39
28,345,39.7959269,2.595e-06,3614.053844,649
25,336,39.8102465,3.165e-06,61241.79188,8759
313,77,39.8151872,4.155172414e-06,311.8705817,87
33,349,39.8274929,4.545e-06,1397.703496,132
11,312,39.8609902,3.315e-06,2192.034856,289
8,308,39.8848203,5.94e-06,20385.6223,1940
295,53,39.8940179,3.55e-05,88.46406259,12
312,66,39.8962227,3.12e-06,900.172313,294
314,85,39.9552104,1.078947368e-05,388.6144287,57
25,339,40.0068055,4.365e-06,21217.57529,2194
25,338,40.0274294,7.380952381e-06,640.716226,63
26,340,40.0282276,8.58e-06,3837.534391,205
313,82,40.0876481,2.080434783e-05,191.0605373,23
27,342,40.0908466,1.8525e-05,189.1594631,20
292,50,40.102973,0.001,23.87010854,6
26,335,40.1305173,4.082142857e-05,159.5873401,14
26,341,40.1421126,8.34e-06,6201.74048,347
10,312,40.190396,3.377777778e-05,545.9825003,27
27,344,40.1944694,5.535e-06,4829.920564,397
9,311,40.2059927,4.095e-06,5500.450488,701
8,309,40.2234888,9.170103093e-06,1640.220073,97
32,348,40.2392517,9.2e-06,429.4852598,45
291,50,40.2839994,0.001,68.21058469,13
23,337,40.3381424,2.82e-06,1849.342841,303
27,345,40.3397282,5.685e-06,5128.586109,413
32,349,40.3542286,2.955e-06,6078.937811,953
293,53,40.3746263,0.001,130.6592444,10
312,78,40.4460953,1.112195122e-05,318.1707651,41
26,342,40.5219624,8.67e-06,15561.96628,849
312,77,40.5326471,6.633333333e-06,226.4647964,45
8,310,40.5688625,6.405e-06,6390.611566,576
11,313,40.5784471,3.69375e-05,58.12537394,8
310,63,40.5858578,4.5e-05,39.35450695,7
24,341,40.6170319,1.71e-05,396.4649407,20
310,64,40.6677226,3.0875e-05,73.89156099,12
23,335,40.7495497,6.645e-05,265.758727,10
311,72,40.7530327,3.913636364e-05,82.48341285,11
23,341,40.7611245,0.001,597.399917,85
26,345,40.7708865,7.77e-05,308.7674275,10
9,312,40.8039345,4.05e-06,10123.20095,1154
312,82,40.8051398,0.001,130.6592444,15
5,292,40.8179607,4.995e-06,1303.210169,177
22,340,40.8402074,5.115e-06,12614.28489,1115
25,343,40.8704115,5.55e-06,36047.22346,2993
10,313,40.9078716,9.69e-06,8371.47366,386
22,335,40.9424915,1.121830986e-05,2350.975244,71
33,352,40.9480581,3.128571429e-05,66.19468681,7
310,67,40.9711536,8.476744186e-06,189.1594631,43
314,87,40.9938215,5.333333333e-05,68.89610242,9
308,60,40.99978,3.135e-06,535.1713423,174
312,84,41.0076796,5.15e-05,30.34458394,6
6,293,41.0219707,2.79e-06,1830.941582,429
11,314,41.0333524,7.868421053e-06,579.7441108,57
308,61,41.0555757,1.396153846e-05,157.9994295,26
21,325,41.0957479,7.875e-06,2281.493454,131
26,343,41.1312525,2.111111111e-05,321.3684244,27
23,342,41.1409822,4.125e-06,3437.794407,387
4,291,41.1687228,7.92e-06,1383.796123,117
23,344,41.2445923,0.001,2900.346344,451
24,345,41.2457683,2.67e-06,6992.442738,1292
7,295,41.2479985,6.57e-06,1812.723419,185
310,72,41.2856175,2.9e-05,70.28787581,12
20,323,41.2973388,3.48e-06,39838.34295,5397
309,67,41.3165163,6.25e-05,80.85015164,9
22,342,41.3339427,4.545e-06,8371.47366,445
37,375,41.3356928,3.96e-06,5840.579289,834
4,292,41.3497826,0.001,14803.00028,938
10,314,41.3627705,7.8e-06,22984.72483,1247
21,328,41.3782841,1.1415e-05,43156.36163,1825
5,293,41.4112433,5.97e-06,9159.851101,1072
313,87,41.448695,3.705e-06,504.0054478,141
311,79,41.4916715,4.1e-05,135.9915085,9
20,325,41.5008315,3.795e-06,3403.587791,413
6,295,41.5026338,3.555e-06,6785.784853,1309
9,313,41.5213906,4.125e-06,25915.20475,2782
33,359,41.5251477,4.05e-06,10642.22851,1183
310,74,41.5364719,3.045e-06,873.5682301,291
310,73,41.547275,1.307142857e-05,171.1586554,28
30,352,41.5755533,1.1115e-05,11644.45266,502
22,345,41.5828273,3.03e-06,7574.822706,1202
311,84,41.6056526,3.48e-06,634.341003,189
308,65,41.6292038,0.001,839.3151691,278
310,77,41.6631869,4.053571429e-06,311.8705817,84
19,323,41.6821572,1.1025e-05,11413.87707,474
8,312,41.6994061,4.545e-06,31337.95071,3178
308,66,41.7108311,0.001,318.1707651,81
311,85,41.7255178,4.615384615e-06,416.7920816,91
32,357,41.7319325,4.2e-06,5445.720101,595
310,76,41.7389197,1.5975e-05,104.8566972,20
306,56,41.7467159,4.95e-05,30.957565,6
5,294,41.7600389,5.55e-06,1252.110607,152
20,328,41.7833691,4.77e-06,8455.608359,825
3,291,41.8472144,1.3395e-05,53776.13775,3004
309,74,41.8818455,5.373417722e-06,568.2644281,79
19,325,41.8856492,1.263e-05,31971.01929,1193
27,346,41.8918074,0.001,29219.31164,1617
5,295,41.8918876,0.001,18445.67394,1939
309,78,41.9220589,0.001,57.54702676,5
310,82,41.9356434,3.170454545e-05,257.9043992,22
4,293,41.9430412,0.001,24163.17682,1591
21,331,41.9456114,2.409677419e-05,557.0120583,31
308,70,41.9487593,6.70212766e-06,252.7975697,47
28,348,41.9630623,4.905e-06,9068.709069,846
308,72,41.9696673,0.001,121.8259396,29
307,65,41.9786289,0.001,774.7856293,220
21,333,41.9869233,9.51e-06,2170.223754,101
309,77,42.0085629,5.25e-05,104.8566972,11
3,292,42.028258,1.32e-05,33947.99665,1826
32,359,42.0518731,6.12e-05,63.59919523,5
314,92,42.0590629,3.84e-06,442.5650028,123
6,298,42.0890395,2.97e-06,1342.898797,300
313,91,42.138856,2.82e-06,729.665685,246
306,60,42.1413887,2.358333333e-05,130.6592444,18
30,359,42.1526513,1.247093023e-05,2064.380742,86
312,87,42.1661507,3.525e-06,1014.941321,303
19,328,42.1681871,1.0035e-05,3915.057707,174
312,88,42.226517,2.835e-06,1077.701726,371
308,78,42.2606876,4.684615385e-05,133.298716,13
309,82,42.2809837,0.0001449,56.97443423,5
4,294,42.2918431,1.0725e-05,28928.57464,1942
307,70,42.2981638,3.616666667e-05,48.55055811,9
307,72,42.3190111,2.59e-05,100.7452466,15
7,300,42.3326645,4.125e-06,1077.701726,179
33,362,42.3456577,3.3e-06,20590.5012,2803
20,331,42.3507143,3.465e-06,46285.55085,6210
309,79,42.3696501,6.537735849e-06,226.4647964,53
25,347,42.3767576,3.880434783e-05,514.187013,23
20,333,42.3920111,3.42e-06,37518.33852,2588
306,62,42.4194861,3.48e-06,562.6101125,168
5,298,42.4783117,7.35e-06,19198.45613,1865
309,84,42.4836279,3.99e-06,736.998937,176
