lev_id,E_calc,J,P,lev_name
201,115.1519,4.0,1,96 3d7.(2H).4d 3H  4.0
202,115.1759,5.0,1,56 3d7.(2H).4d 3H  5.0
203,115.2073,3.0,1,59 3d7.(2D2).4d 3G  3.0
204,115.3297,4.0,1,35 3d7.(2D2).4d 1G  4.0
205,115.4255,6.0,1,80 3d7.(2H).4d 1I  6.0
206,116.2759,2.0,1,51 3d7.(2D2).4d 3P  2.0
207,117.0847,0.0,1,40 3d7.(2D2).4d 3P  0.0
208,117.209,1.0,1,43 3d7.(2D2).4d 3P  1.0
209,118.8184,4.0,1,54 3d7.(2H).4d 3F  4.0
210,119.0328,0.0,1,73 3d7.(2D2).4d 1S  0.0
211,119.5116,3.0,1,51 3d7.(2H).4d 3F  3.0
212,119.82,2.0,1,46 3d7.(2H).4d 3F  2.0
213,121.2051,2.0,1,100 3d7.(2F).5s 3F  2.0
214,121.3127,3.0,1,94 3d7.(2F).5s 3F  3.0
215,121.3207,4.0,1,69 3d7.(2H).4d 1G  4.0
216,121.5581,4.0,1,100 3d7.(2F).5s 3F  4.0
217,121.9457,2.0,1,32 3d7.(2D2).4d 1D  2.0
218,122.0656,3.0,1,94 3d7.(2F).5s 1F  3.0
219,124.0094,3.0,1,100 3d7.(4P).6s 5P  3.0
220,124.2277,2.0,1,87 3d7.(4P).6s 5P  2.0
221,124.4912,2.0,1,89 3d7.(4P).6s 3P  2.0
222,124.5222,1.0,1,71 3d7.(4P).6s 5P  1.0
223,124.861,1.0,1,71 3d7.(4P).6s 3P  1.0
224,125.1037,0.0,1,98 3d7.(4P).6s 3P  0.0
225,125.6785,5.0,1,98 3d7.(2G).6s 3G  5.0
226,125.7821,4.0,1,57 3d7.(2G).6s 3G  4.0
227,126.473,3.0,1,100 3d7.(2G).6s 3G  3.0
228,126.5839,4.0,1,58 3d7.(2G).6s 1G  4.0
229,127.8114,1.0,1,87 3d7.(2F).4d 1P  1.0
230,128.0315,4.0,1,99 3d7.(2F).4d 3H  4.0
231,128.1405,5.0,1,84 3d7.(2F).4d 3H  5.0
232,128.216,1.0,1,87 3d7.(2F).4d 3D  1.0
233,128.2299,2.0,1,97 3d7.(2F).4d 3D  2.0
234,128.2951,3.0,1,56 3d7.(2F).4d 3D  3.0
235,128.3295,3.0,1,63 3d7.(2F).4d 3G  3.0
236,128.4035,6.0,1,100 3d7.(2F).4d 3H  6.0
237,128.4935,4.0,1,98 3d7.(2F).4d 3G  4.0
238,128.5278,5.0,1,81 3d7.(2F).4d 1H  5.0
239,128.7153,5.0,1,96 3d7.(2F).4d 3G  5.0
240,128.8313,3.0,1,64 3d7.(2F).4d 1F  3.0
241,128.9089,2.0,1,96 3d7.(2F).4d 3F  2.0
242,129.0729,3.0,1,70 3d7.(2F).4d 3F  3.0
243,129.1011,4.0,1,97 3d7.(2F).4d 3F  4.0
244,129.5474,2.0,1,85 3d7.(2P).6s 3P  2.0
245,129.66,1.0,1,45 3d7.(2P).6s 1P  1.0
246,130.3593,0.0,1,98 3d7.(2P).6s 3P  0.0
247,130.4361,1.0,1,55 3d7.(2P).6s 3P  1.0
248,131.5566,0.0,1,92 3d7.(2F).4d 3P  0.0
249,131.716,1.0,1,92 3d7.(2F).4d 3P  1.0
250,131.8,6.0,1,100 3d7.(2H).6s 3H  6.0
251,131.8084,3.0,1,77 3d7.(2D2).6s 3D  3.0
252,131.8967,2.0,1,44 3d7.(2F).4d 3P  2.0
253,131.902,5.0,1,60 3d7.(2H).6s 3H  5.0
254,131.938,2.0,1,31 3d7.(2D2).6s 1D  2.0
255,132.1997,2.0,1,52 3d7.(2F).4d 1D  2.0
256,132.5087,4.0,1,98 3d7.(2H).6s 3H  4.0
257,132.6198,5.0,1,60 3d7.(2H).6s 1H  5.0
258,133.0544,1.0,1,70 3d7.(2D2).6s 3D  1.0
259,133.1219,2.0,1,36 3d7.(2D2).6s 3D  2.0
260,133.1734,4.0,1,85 3d7.(2F).4d 1G  4.0
261,141.6474,1.0,1,80 3d7.(2D1).5s 3D  1.0
262,141.7539,2.0,1,75 3d7.(2D1).5s 3D  2.0
263,142.0342,3.0,1,78 3d7.(2D1).5s 3D  3.0
264,142.5434,2.0,1,74 3d7.(2D1).5s 1D  2.0
265,146.1595,2.0,1,100 3d7.(2F).6s 3F  2.0
266,146.2241,3.0,1,80 3d7.(2F).6s 3F  3.0
267,146.5156,4.0,1,100 3d7.(2F).6s 3F  4.0
