wn_obs,wn_obs_unc,I_obs,snr_obs
17.8719179,1.094117647e-05,305.6951502,17
17.8770886,3.84375e-05,228.7407954,8
17.8771377,4.65e-05,204.9139168,5
17.8780326,1.2e-05,219.7717798,14
17.8817605,4.5e-06,5840.579289,143
17.8863621,5.678571429e-05,247.7918622,7
17.8882172,2.95e-05,181.7424537,6
17.9208894,4.05e-05,189.1594631,5
17.9236046,1.125e-05,540.5498936,16
17.9237321,1.7e-05,55.29061478,6
17.9274081,8.45e-05,130.6592444,3
17.9288892,2.807142857e-05,131.9723816,7
17.9288892,2.807142857e-05,131.9723816,7
17.9326065,5.3e-05,96.79500814,3
17.9401474,6.666666667e-06,891.2154588,27
17.9440928,7.425e-05,56.40753908,2
17.953979,5.25e-05,74.63417347,3
17.9707366,3.575e-05,114.7314074,6
17.9716639,1.979381443e-06,1690.17218,97
17.9727052,2.55e-05,147.3177592,8
17.9816427,2.775e-05,169.4556082,6
17.9844345,1.941176471e-05,498.9905197,17
17.9847364,2.274725275e-06,3369.721536,91
17.9863509,3.525e-05,56.97443423,4
17.9968955,2.73e-05,117.0491154,5
17.9995466,1.85e-05,273.8522547,9
17.9999646,4.625e-06,1056.361822,36
18.0168398,7.9875e-05,114.7314074,4
18.0228589,3.69e-05,308.7674275,10
18.0262127,8.093023256e-06,1110.522599,43
18.0290989,4.45e-05,271.1273892,6
18.0499137,3.775e-05,126.7977097,6
18.0499137,3.775e-05,126.7977097,6
18.0569554,3.325e-05,213.2765716,6
18.0681724,4.95e-05,147.3177592,6
18.0756318,4.77e-06,6018.451379,143
18.0830613,5.43e-05,113.5898208,5
18.087335,5.5875e-05,162.811198,4
18.0873843,2.625e-05,142.963891,8
18.0923635,0.0001365,109.1359394,2
18.0938919,8.4375e-06,351.6329715,24
18.094558,3.875e-06,1529.331127,72
18.094558,3.875e-06,1529.331127,72
18.0979166,1.66875e-05,296.6605227,16
18.1000951,5.875e-06,1724.315903,60
18.1130791,3.8625e-05,92.99966079,4
18.1181765,2.983333333e-05,213.2765716,9
18.1240948,1.846875e-05,362.3417593,16
18.1293723,2.85e-05,117.0491154,5
18.1511452,3.128571429e-05,242.8852744,7
18.1511452,3.128571429e-05,242.8852744,7
18.1548663,1.692857143e-05,273.8522547,14
18.1565119,1.592307692e-05,456.0430832,13
18.1568854,2.625e-05,84.99537629,6
18.1593437,2.183333333e-05,141.5413865,9
18.1756701,4.7625e-05,138.738699,4
18.1758603,1.291666667e-05,358.7364085,18
18.1811741,3.283333333e-05,228.7407954,9
18.1827884,1.663636364e-05,327.8604771,11
18.1903819,3.672413793e-06,2023.503284,58
18.1910685,3.605769231e-06,701.0551235,52
18.195219,2.2e-05,151.8042224,9
18.2109989,1.665e-06,2192.034856,189
18.2118006,4.725e-05,242.8852744,8
18.2161144,4.536585366e-06,545.9825003,41
18.2299557,6.075e-06,4829.920564,113
18.2319526,5.16e-06,14803.00028,350
18.2319526,5.16e-06,14803.00028,350
18.2440273,4.175e-05,121.8259396,6
18.2440756,8.85e-05,145.851933,3
18.2528245,4.95505618e-06,2786.622176,89
18.2547499,5.816666667e-05,377.1291662,9
18.261721,5.15e-05,153.3298702,6
18.264102,0.000123,92.99966079,2
18.2649184,4.125e-05,99.74282455,4
18.270808,4.41e-05,93.93431287,5
18.2732369,4.5e-05,108.0500286,4
18.2749224,2.265e-06,1812.723419,113
18.2787812,1.017e-05,2064.380742,50
18.2795044,4.02e-05,144.4006919,5
18.295802,1.95e-05,55.29061478,6
18.3061613,3.55e-05,108.0500286,6
18.3091117,2.85e-05,57.54702676,5
18.3185172,3.09e-05,265.758727,10
18.3185172,3.09e-05,265.758727,10
18.3264921,3.465e-05,245.326302,10
18.3281563,1.8e-06,5337.887638,441
18.3290426,1.43e-05,489.1098652,15
18.3323158,7.815789474e-06,189.1594631,19
18.3357785,3.211267606e-06,1110.522599,71
18.3375589,7.35e-05,103.8133656,3
18.3379493,5.95e-06,847.7504167,30
18.345047,2.528571429e-05,90.25113499,7
18.3484749,1.971428571e-05,311.8705817,14
18.3484749,1.971428571e-05,311.8705817,14
18.3589063,1.56e-05,245.326302,15
18.3617726,1.545e-06,6201.74048,606
18.3633462,1.5225e-05,396.4649407,20
18.3647819,1.583333333e-05,204.9139168,9
18.3772715,2.442857143e-05,178.1437318,7
18.3850285,5.675e-05,159.5873401,6
18.3873973,6.52173913e-06,900.172313,46
18.3928695,2.5875e-05,63.59919523,4
18.3955967,1.965e-05,551.4697056,20
18.3987172,3.945652174e-06,647.1555211,46
18.4076093,1.428571429e-05,420.9809016,21
18.4198228,5.7e-05,142.963891,4
18.4198988,6.475e-05,181.7424537,6
18.4206371,3.578571429e-05,128.0720378,7
18.4220809,2.146153846e-05,285.0283364,13
