lid1,lid2,E1,E2,J1,J2,snr,wn_ritz,wn_obs,wn_obs_unc,obs-ritz,I_calc,I_obs,gA,L1,L2
1,194,513.3304,26761.0769,4.5,5.5,1210,26247.7465,26247.7529,0.0013,0.0064,9.6e+04,1.2e+05,9.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 194 26.7295 4f4.(5I).6p 6I* 5.5
1,178,513.3304,26227.0704,4.5,4.5,893,25713.7399,25713.7369,0.0013,-0.0030,9.4e+04,1.1e+05,9.6e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 178 26.1798 4f4.(5I).6p 6I* 4.5
1,146,513.3304,24797.3875,4.5,4.5,533,24284.0571,24284.0715,0.0011,0.0144,7.6e+04,1.2e+05,4.0e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 146 24.8074 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 4.5
1,103,513.3304,20830.0130,4.5,5.5,8281,20316.6826,20316.6825,0.0010,-0.0000,7.3e+04,3.2e+05,1.4e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 103 20.8693 4f3.(4I*).5d2.(1G) 4K* 5.5
1,162,513.3304,25481.2496,4.5,5.5,977,24967.9192,24967.9394,0.0021,0.0203,7.2e+04,2.2e+05,4.9e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 162 25.4528 4f3.(4I*).5d2.(1D) 4H* 5.5
1,115,513.3304,22696.8533,4.5,5.5,813,22183.5229,22183.5238,0.0010,0.0009,6.5e+04,1.2e+05,2.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 115 22.6432 4f3.(4I*).5d2.(1G) 4I* 5.5
1,160,513.3304,25389.1903,4.5,4.5,616,24875.8598,24875.8587,0.0010,-0.0011,5.9e+04,1.0e+05,4.8e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 160 25.3764 4f3.(4F*).5d.(2D).(5G*).6s 6G* 4.5
1,198,513.3304,27014.2413,4.5,4.5,280,26500.9108,26500.9114,0.0013,0.0005,5.8e+04,2.4e+04,5.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 198 26.8449 4f3.(4I*).5d2.(1G) 4G* 4.5
1,124,513.3304,23409.5035,4.5,4.5,369,22896.1731,22896.1728,0.0010,-0.0003,5.8e+04,5.5e+04,2.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 124 23.4045 4f3.(4I*).5d2.(3F) 2G* 4.5
1,161,513.3304,25352.3533,4.5,5.5,493,24839.0229,24839.0229,0.0012,0.0000,5.1e+04,1.1e+05,3.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 161 25.3800 4f3.(4S*).5d2.(3F) 6F* 5.5
1,148,513.3304,25014.8936,4.5,5.5,592,24501.5632,24501.5647,0.0011,0.0015,4.8e+04,1.2e+05,2.7e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 148 24.9760 4f3.(4F*).5d2.(3F) 6H* 5.5
1,116,513.3304,22663.6925,4.5,4.5,565,22150.3621,22150.3625,0.0009,0.0005,4.4e+04,7.2e+04,1.3e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 116 22.6990 4f3.(4F*).5d2.(3F) 6I* 4.5
1,215,513.3304,27352.2687,4.5,5.5,801,26838.9383,26838.9351,0.0013,-0.0033,4.4e+04,6.3e+04,4.8e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 215 27.4100 4f3.(2H2*).5d2.(3F) 4I* 5.5
