lev_id,E_calc,J,P,lev_name
103,29.39738,5,1,29397.379  0.982 4f35d~4F5H  5.0
104,29.436,3,1,29436.001  0.952 4f35d~4F5G  3.0
105,29.452,0,1,29452.000  0.000 4f35d~4F3P  0.0
106,29.509,6,1,29509.001  1.002 4f35d~2H3K2 6.0
107,29.775,4,1,29775.000  0.611 4f36s~4I5I  4.0
108,29.834,4,0,29834.000  0.869 4f4  _3H3H2 4.0
109,29.838,5,0,29837.999  1.007 4f4  _1H1H1 5.0
110,29.861,1,1,29861.000  1.277 4f35d~4F3P  1.0
111,30.086,2,1,30086.000  1.084 4f35d~4F3D  2.0
112,30.17569,5,1,30175.690  1.051 4f35d~4F5H  5.0
113,30.252,4,1,30252.001  1.075 4f35d~4F5G  4.0
114,30.392,2,0,30392.000  0.986 4f4  _1D1D2 2.0
115,30.481,5,0,30481.001  1.056 4f4  _3H3H2 5.0
116,30.524,5,1,30524.000  0.910 4f36s~4I5I  5.0
117,30.765,3,1,30764.999  1.219 4f35d~4S5D  3.0
118,30.951,1,1,30951.000  1.516 4f35d~4F5P  1.0
119,31.03,2,1,31030.001  1.176 4f35d~4F5P  2.0
120,31.06,4,1,31059.999  0.928 4f35d~2H3H2 4.0
121,31.14643,6,1,31146.429  1.060 4f35d~4F5H  6.0
122,31.159,3,1,31159.000  1.160 4f35d~4F3F  3.0
123,31.211,1,1,31211.000  1.053 4f35d~4F5F  1.0
124,31.446,2,1,31445.999  1.313 4f35d~4F5P  2.0
125,31.471,5,1,31471.001  1.135 4f35d~4F5G  5.0
126,31.55919,6,1,31559.191  1.151 4f35d~4F5H  6.0
127,31.572,3,1,31572.001  1.313 4f35d~4F5P  3.0
128,31.78178,7,1,31781.776  1.141 4f35d~4F5H  7.0
129,31.803,6,0,31802.999  1.103 4f4  _3H3H2 6.0
130,31.863,2,1,31863.001  1.064 4f35d~4F5F  2.0
131,31.932,4,1,31931.999  0.969 4f35d~2H1G2 4.0
132,32.019,7,0,32019.001  1.005 4f4  _1K1K  7.0
133,32.169,6,1,32168.999  1.062 4f36s~4I5I  6.0
134,32.258,1,1,32257.999  1.028 4f35d~4S5D  1.0
135,32.298,2,1,32298.000  1.002 4f35d~2H3F2 2.0
136,32.347,0,1,32347.000  0.000 4f35d~4S5D  0.0
137,32.377,5,1,32376.999  1.037 4f36s~4I3I  5.0
138,32.438,3,1,32438.000  1.233 4f35d~4F5F  3.0
139,32.459,5,1,32459.000  0.916 4f36s~4I3I  5.0
140,32.543,3,1,32542.999  1.217 4f35d~4F5F  3.0
141,32.634,4,0,32633.999  1.071 4f4  _3G3G1 4.0
142,32.64,4,1,32639.999  0.719 4f35d~4G5I  4.0
143,32.696,6,1,32695.999  1.096 4f35d~2H1I2 6.0
144,32.735,2,1,32735.001  1.362 4f35d~4S5D  2.0
145,32.736,3,0,32736.000  0.824 4f4  _3G3G1 3.0
146,32.811,1,1,32811.001  1.094 4f35d~4F5D  1.0
147,32.83242,7,1,32832.420  1.155 4f35d~4F5H  7.0
148,32.909,4,1,32909.000  1.233 4f35d~4F3F  4.0
149,33.063,4,1,33063.000  1.014 4f35d~4F5F  4.0
150,33.169,6,1,33168.999  1.122 4f35d~2H3I2 6.0
151,33.244,3,1,33243.999  1.373 4f35d~4S5D  3.0
152,33.272,5,1,33271.999  1.080 4f35d~4F5G  5.0
153,33.42,2,1,33419.998  1.239 4f35d~4F3P  2.0
154,33.556,4,1,33556.000  1.126 4f35d~4F5F  4.0
155,33.829,5,0,33828.999  1.159 4f4  _3G3G1 5.0
156,33.907,5,1,33907.001  0.932 4f35d~4G5I  5.0
157,34.042,3,1,34042.000  1.093 4f35d~2H3F2 3.0
158,34.141,7,1,34140.999  1.173 4f36s~4I5I  7.0
159,34.185,4,1,34185.001  1.298 4f35d~2H3F2 4.0
160,34.271,4,0,34271.000  1.116 4f4  _3G3G1 4.0
161,34.538,8,1,34537.998  1.129 4f35d~2H3K2 8.0
162,34.549,5,1,34549.000  1.257 4f35d~4F5F  5.0
163,34.55,4,1,34549.999  1.357 4f35d~4F5D  4.0
164,34.614,2,0,34613.998  0.675 4f4  _3F3F2 2.0
165,34.687,7,1,34687.000  1.035 4f35d~2H1K2 7.0
166,34.693,1,1,34693.001  0.533 4f35d~4F3D  1.0
167,34.729,3,1,34729.000  0.786 4f35d~4G5H  3.0
168,34.822,6,1,34821.999  1.068 4f36s~4I3I  6.0
169,34.897,2,1,34896.999  0.384 4f35d~4G5G  2.0
170,34.933,5,1,34932.999  1.115 4f35d~2H3G2 5.0
171,34.955,6,1,34955.002  1.106 4f36s~4I3I  6.0
172,34.984,3,0,34984.001  1.017 4f4  _3F3F2 3.0
173,35.162,7,1,35161.999  1.129 4f35d~2H3I2 7.0
174,35.202,2,1,35202.000  1.062 4f35d~4F3D  2.0
175,35.351,3,1,35351.002  0.713 4f35d~4G5H  3.0
176,35.47,6,1,35470.001  1.082 4f35d~4G5I  6.0
177,35.664,4,0,35664.001  0.851 4f4  _3H3H3 4.0
178,35.708,5,1,35708.000  1.102 4f35d~2H3G2 5.0
179,35.809,3,1,35808.998  0.971 4f35d~4F3G  3.0
180,35.824,5,1,35824.001  0.884 4f35d~2G3I1 5.0
181,36.124,4,1,36124.001  0.999 4f35d~4G5H  4.0
182,36.216,8,1,36216.000  1.248 4f36s~4I5I  8.0
183,36.22,6,0,36220.001  0.926 4f4  _3K3K1 6.0
184,36.293,3,1,36292.999  0.905 4f35d~4F3G  3.0
185,36.363,4,1,36362.999  1.119 4f35d~4G5G  4.0
186,36.507,4,1,36507.000  1.023 4f35d~4G5H  4.0
187,36.51,0,1,36509.998  0.000 4f35d~2D1S1 0.0
188,36.515,5,0,36514.999  1.029 4f4  _3H3H3 5.0
189,36.529,3,1,36528.999  1.062 4f35d~4F3D  3.0
190,36.646,6,1,36646.000  1.074 4f35d~2H3H2 6.0
191,36.878,7,1,36877.998  1.143 4f35d~4G5I  7.0
192,36.946,1,1,36945.999  0.284 4f35d~4G5F  1.0
193,37.057,2,1,37056.999  1.021 4f35d~4S3D  2.0
194,37.071,8,1,37070.999  0.901 4f35d~2K3M  8.0
195,37.113,7,0,37112.999  1.023 4f4  _3K3K1 7.0
196,37.127,3,1,37126.999  1.091 4f35d~4S3D  3.0
197,37.136,6,0,37136.002  1.098 4f4  _3H3H3 6.0
198,37.193,6,1,37193.001  1.029 4f35d~2K3K  6.0
199,37.352,4,1,37352.001  1.063 4f35d~4F3G  4.0
200,37.404,7,1,37403.999  1.146 4f36s~4I3I  7.0
201,37.412,8,0,37411.999  1.112 4f4  _3K3K1 8.0
202,37.491,2,1,37491.001  0.997 4f35d~2G3D1 2.0
203,37.525,5,1,37525.002  1.122 4f35d~4G5H  5.0
204,37.688,6,1,37688.000  1.032 4f35d~2G3I1 6.0
205,37.698,7,1,37698.002  0.930 4f35d~2K3L  7.0
206,37.722,1,1,37722.000  0.391 4f35d~4G5F  1.0
207,37.754,0,0,37754.002  0.000 4f4  _3P3P1 0.0
208,37.83,5,1,37830.002  1.207 4f35d~4G5G  5.0
209,37.831,4,0,37831.001  1.014 4f4  _1G1G2 4.0
210,37.864,3,1,37863.998  0.998 4f35d~4G5F  3.0
211,37.985,2,1,37985.001  0.959 4f35d~4G5F  2.0
212,38.036,10,0,38035.999  1.001 4f4  _1N1N 10.0
213,38.183,4,1,38182.999  0.965 4f35d~2G3H1 4.0
214,38.373,5,1,38373.001  1.105 4f35d~4F3G  5.0
215,38.461,8,1,38460.999  1.182 4f35d~4G5I  8.0
216,38.797,3,1,38797.001  1.154 4f35d~4G5F  3.0
217,38.843,4,1,38842.999  1.063 4f35d~2G3G1 4.0
218,38.916,7,1,38916.000  1.023 4f35d~2K3K  7.0
219,38.968,6,1,38967.999  1.196 4f35d~4G5H  6.0
220,38.971,3,1,38971.001  1.179 4f35d~4G5F  3.0
221,38.982,9,1,38981.998  1.016 4f35d~2K3M  9.0
222,38.993,5,1,38993.000  0.931 4f35d~2K3I  5.0
223,39.016,4,1,39015.999  1.060 4f35d~2H3G2 4.0
224,39.143,2,1,39143.002  1.068 4f35d~4G5D  2.0
225,39.176,8,1,39175.999  1.019 4f35d~2K3L  8.0
226,39.205,5,1,39205.002  1.123 4f35d~2G3G1 5.0
227,39.26,1,1,39259.998  1.187 4f35d~2P3P  1.0
228,39.417,6,1,39417.000  1.096 4f35d~2K3I  6.0
229,39.452,0,1,39452.000  0.000 4f35d~2D3P1 0.0
230,39.487,2,1,39487.000  0.910 4f35d~2P3F  2.0
231,39.497,1,0,39497.002  1.494 4f4  _3P3P1 1.0
232,39.534,6,1,39534.000  1.171 4f35d~4G5G  6.0
233,39.553,7,1,39553.001  1.131 4f35d~2G3I1 7.0
234,39.731,8,1,39730.999  1.108 4f35d~2K1L  8.0
235,39.877,2,1,39876.999  0.924 4f35d~2P3F  2.0
236,39.882,1,1,39882.000  1.149 4f35d~4G5D  1.0
237,39.901,0,1,39901.001  0.000 4f35d~4G5D  0.0
238,39.939,3,1,39938.999  1.251 4f35d~4G5D  3.0
239,40.074,4,1,40074.001  1.289 4f35d~4G5F  4.0
240,40.124,5,1,40124.001  1.121 4f35d~2G3H1 5.0
241,40.173,2,1,40173.000  1.124 4f35d~2D3P1 2.0
242,40.199,3,1,40199.001  1.083 4f35d~2P3F  3.0
243,40.29,1,1,40290.001  1.288 4f35d~2D3P1 1.0
244,40.416,7,1,40416.000  1.201 4f35d~4G5H  7.0
245,40.444,4,1,40444.000  1.175 4f35d~4G3F  4.0
246,40.52,2,1,40520.000  1.194 4f35d~2D3P1 2.0
247,40.603,6,1,40603.001  1.102 4f35d~2K3I  6.0
248,40.874,8,1,40874.001  1.052 4f35d~2K3K  8.0
249,40.893,3,1,40893.002  1.048 4f35d~4G3G  3.0
250,40.894,9,1,40894.001  1.097 4f35d~2K3L  9.0
251,41.102,7,1,41102.001  1.169 4f35d~2K3I  7.0
252,41.126,10,1,41125.999  1.099 4f35d~2K3M 10.0
253,41.166,1,1,41166.000  0.084 4f36s~4F5F  1.0
254,41.291,6,1,41291.000  1.068 4f35d~2K1I  6.0
255,41.296,8,0,41296.001  1.013 4f4  _1L1L1 8.0
256,41.299,1,1,41299.000  1.098 4f35d~2D3P1 1.0
257,41.413,5,1,41412.998  1.343 4f35d~4G5F  5.0
258,41.576,5,0,41576.000  0.844 4f4  _3I3I2 5.0
259,41.606,2,1,41605.999  0.972 4f36s~4F5F  2.0
260,41.676,3,1,41675.999  1.216 4f35d~4G5D  3.0
261,41.709,4,1,41709.000  1.006 4f35d~4G3H  4.0
262,41.771,4,1,41771.000  1.195 4f35d~4G5D  4.0
263,41.821,2,0,41820.999  1.479 4f4  _3P3P3 2.0
264,41.97,4,1,41970.001  1.070 4f35d~2P3F  4.0
265,41.977,2,1,41977.001  1.247 4f35d~4G5D  2.0
266,42.013,1,1,42013.000  1.192 4f35d~2D3S1 1.0
267,42.046,3,1,42046.001  1.125 4f35d~2P3D  3.0
268,42.149,6,0,42148.998  1.024 4f4  _3I3I2 6.0
269,42.188,5,1,42188.000  1.038 4f35d~4G3H  5.0
270,42.246,2,1,42245.998  1.270 4f35d~2P3P  2.0
271,42.346,5,1,42346.001  0.995 4f35d~2K1H  5.0
272,42.529,3,1,42528.999  1.204 4f36s~4F5F  3.0
273,42.664,3,1,42664.001  0.977 4f35d~4G3G  3.0
274,42.709,7,0,42709.000  1.138 4f4  _3I3I2 7.0
275,42.885,0,1,42884.998  0.000 4f35d~2D3P1 0.0
276,42.896,6,1,42896.000  1.053 4f35d~2K3H  6.0
277,42.964,1,1,42964.001  0.668 4f35d~2P3D  1.0
278,43.009,5,1,43008.999  1.138 4f36s~2H3H2 5.0
279,43.011,4,1,43011.002  0.950 4f36s~2H3H2 4.0
280,43.07,3,1,43070.000  1.039 4f35d~2D3G1 3.0
281,43.074,2,1,43074.001  1.105 4f36s~4F3F  2.0
282,43.114,7,1,43113.998  1.029 4f35d~2K1K  7.0
283,43.182,5,1,43181.999  0.908 4f35d~4G3I  5.0
284,43.21,3,0,43209.999  0.760 4f4  _3G3G3 3.0
285,43.228,2,1,43228.001  1.595 4f36s~4S5S  2.0
286,43.262,4,0,43262.001  1.044 4f4  _3G3G3 4.0
287,43.285,2,1,43285.000  1.123 4f35d~2D3D1 2.0
288,43.308,4,1,43307.999  1.291 4f35d~4G5D  4.0
289,43.337,9,1,43337.002  1.005 4f35d~2K1M  9.0
290,43.565,4,1,43564.999  1.249 4f36s~4F5F  4.0
291,43.837,6,1,43837.002  1.127 4f35d~2K3H  6.0
292,43.873,4,1,43873.001  1.033 4f35d~4G3G  4.0
293,43.939,5,0,43938.999  1.197 4f4  _3G3G3 5.0
294,44.062,2,1,44062.000  1.076 4f35d~4D5F  2.0
295,44.065,3,1,44064.999  1.276 4f35d~4G3D  3.0
296,44.192,5,1,44192.001  1.160 4f35d~2D3G1 5.0
297,44.256,4,1,44256.001  1.117 4f35d~2P3F  4.0
298,44.325,1,1,44325.001  1.454 4f36s~4S3S  1.0
299,44.336,6,1,44335.999  1.025 4f35d~4G3I  6.0
300,44.358,3,1,44358.002  1.068 4f36s~4F3F  3.0
301,44.446,8,1,44445.999  1.004 4f35d~2L1L  8.0
302,44.675,2,1,44674.999  0.907 4f35d~2D1D1 2.0
303,44.756,1,1,44756.001  1.376 4f36s~4S3S  1.0
304,44.963,5,1,44963.001  1.273 4f36s~4F5F  5.0
305,44.988,4,1,44987.999  0.923 4f35d~2K3H  4.0
306,45.003,3,1,45002.998  1.091 4f35d~2D3D1 3.0
307,45.121,0,1,45120.998  0.000 4f35d~4D5D  0.0
308,45.216,5,1,45216.000  1.142 4f35d~4G3G  5.0
309,45.241,2,1,45241.001  1.095 4f35d~4D5F  2.0
310,45.281,7,1,45280.998  1.114 4f35d~4G3I  7.0
311,45.338,1,1,45338.001  1.311 4f35d~4D5D  1.0
312,45.68,3,1,45680.000  1.131 4f35d~4D5F  3.0
313,45.72,6,0,45720.001  1.003 4f4  _1I1I2 6.0
314,45.78,4,1,45779.999  1.170 4f36s~4F3F  4.0
315,45.854,2,1,45854.000  1.093 4f35d~4D5D  2.0
316,45.93,3,1,45930.000  1.086 4f35d~4D5F  3.0
317,45.96,1,1,45959.999  1.011 4f35d~2D1P1 1.0
318,45.979,4,1,45979.000  1.272 4f35d~4D5D  4.0
319,46.041,5,1,46041.000  0.997 4f35d~2K1H  5.0
320,46.093,4,1,46092.999  1.132 4f35d~2D3F1 4.0
321,46.144,6,1,46144.001  0.920 4f35d~2I3K  6.0
322,46.218,2,1,46217.999  0.888 4f35d~4D5G  2.0
