wn_calc,gA_calc,upper_lev_id,lower_lev_id
42.082428,1.287e+08,546,79
42.081001,326300,401,6
42.073919,30740000,529,61
42.073252,1.825e+08,525,58
42.05,805300,442,12
42.044204,161600,283,1
42.031496,1.011e+08,520,52
41.994431,3.328e+08,545,79
41.991732,2.716e+08,522,54
41.984,842400,458,19
41.973808,1.201e+09,539,67
41.965312,4712000,531,63
41.960392,21090000,500,34
41.94847,248600,299,2
41.930999,7.688e+08,512,47
41.925999,188300,424,10
41.924955,290600,470,22
41.918508,1.427e+08,539,68
41.915563,4.872e+08,514,49
41.904808,1.553e+08,538,67
41.904307,9119000,530,63
41.903142,9614000,514,50
41.902999,171400,457,19
41.9,54540000,570,111
41.879001,867200,542,74
41.855,8174000,474,24
41.850998,198100,568,108
41.846308,32830000,529,63
41.845999,5055000,440,13
41.836001,253400,523,56
41.830997,10490000,566,105
41.822426,2.829e+08,544,79
41.804563,3.67e+08,512,49
41.804472,261300,296,2
41.803306,1.465e+08,569,112
41.799998,108600,456,18
41.792999,381900,497,35
41.792142,4600000,512,50
41.770999,143600,455,18
41.746998,5461000,488,30
41.744,353400,410,9
41.739003,1333000,556,94
41.733999,2578000,570,113
41.726995,11620000,569,113
41.718,403000,477,26
41.712999,348000,470,23
41.697391,22370000,495,34
41.694,543100,388,5
41.691141,1.039e+08,510,50
41.690811,1.965e+08,535,67
41.685999,246200,474,25
41.685495,7.586e+08,516,52
41.675999,251600,260,0
41.660118,4.258e+08,553,92
41.65592,21860000,525,61
41.644001,1486000,496,35
41.635511,45060000,535,68
41.629,18710000,490,32
41.613121,40880000,552,92
41.602814,1684000,534,67
41.597494,2.785e+08,515,52
41.583998,1168000,456,19
41.572,576300,475,26
41.566461,526100,310,3
41.549999,165500,464,21
41.548004,116600,549,87
41.547514,6484000,534,68
41.546002,138200,389,6
41.514284,1.417e+08,503,38
41.484735,49640000,516,54
41.479999,18340000,564,104
41.470248,15090000,522,58
41.466999,141300,438,14
41.456999,1170000,473,26
41.454996,58230000,569,116
41.449473,149600,291,2
41.421997,1.972e+08,566,110
41.414,354300,517,56
41.385001,418400,493,36
41.384763,2.378e+08,539,72
41.384001,400000,542,80
41.374998,4646000,539,73
41.374428,1692000,541,79
41.371998,1686000,494,37
41.362,575700,469,24
41.340004,283800,547,87
41.315763,8.524e+08,538,72
41.311998,1.071e+09,550,88
41.309252,1.714e+08,520,58
41.305998,746200,538,73
41.304128,86980000,546,86
41.292998,305000,568,114
41.275348,8.965e+08,483,29
41.265999,128900,523,59
41.259001,115500,542,81
41.254515,10090000,531,68
41.241001,113900,506,46
41.228285,9.172e+08,500,38
41.221001,1737000,570,117
41.216131,32440000,545,86
41.213735,57850000,514,54
41.202494,4442000,510,52
41.201393,434500,491,34
41.196997,16990000,566,111
41.192999,1256000,469,25
41.188019,1.242e+08,500,39
41.158001,2914000,445,15
41.157999,611100,485,32
41.157999,6.76e+08,530,69
41.152998,362700,511,53
41.148996,148800,562,99
41.135511,4273000,529,68
41.127998,789200,414,10
41.122,201600,517,57
41.107349,275200,481,29
