wn_obs,wn_obs_unc,I_obs,snr_obs
17.458960522,1.1557578377e-05,961.19457543,7.1057217492
17.459404008,1.1894857756e-05,912.18612451,6.7919028338
17.461164995,1.2757575373e-05,1142.6886487,6.9987020601
17.461555198,2.4393913697e-05,1139.0487554,4.5447502378
17.462234435,1.2905070653e-05,1130.7862283,6.9209863936
17.462493432,6.0839751784e-06,2645.4605674,23.383555069
17.463243234,2.5550456311e-05,1357.698763,4.9588842692
17.463851908,9.0563653481e-06,1330.7351597,9.2614840998
17.464672075,1.8397916264e-05,1254.3194836,8.048
17.465475459,1.6653606774e-05,1549.7466529,6.4982715631
17.465865507,2.0700822618e-06,11183.077351,54.564505151
17.46650988,1.82405863e-05,848.84797857,4.9914515639
17.467329583,7.2630446533e-06,2273.5027946,19.035814443
17.467933528,1.1019513471e-05,1413.9661967,8.2944769322
17.468473152,3.0178301102e-05,500.94493476,3.3652012368
17.468933489,2.9360385911e-05,1166.0584025,5.2537737063
17.469295182,2.0213984218e-05,697.1979277,4.6025418202
17.46950891,1.7466086562e-05,349.33407003,4.0164331228
17.469895264,1.3824832768e-05,690.76935317,5.8398824037
17.470404923,5.6504738585e-06,3954.0574074,16.845701278
17.470626871,6.3770170897e-06,673.41153731,9.9426432858
17.470774836,1.1366188605e-05,938.08935542,7.0772229872
17.470947463,1.119595515e-05,949.85879145,6.6864838556
17.472180942,1.0103609624e-05,3960.089116,18.109082973
17.472369649,3.5180093797e-05,387.59334512,2.4775
17.475119734,5.2671483646e-06,5073.4453905,32.862504377
17.476473979,1.230034266e-05,1470.0208525,7.8121046991
17.477347206,7.5638053917e-06,3822.796678,13.890164172
17.478020128,2.205466598e-05,1571.8128988,6.0501829251
17.478824374,9.1823852592e-06,2918.5341877,10.766305531
17.479297434,2.0255770309e-05,1711.5746709,7.029529082
17.479776389,1.991094023e-05,1678.0467804,8.3740621978
17.480286853,7.316013975e-06,1381.9127757,10.923448321
17.480480315,1.2984264012e-06,24014.342243,137.94570093
17.481419825,2.3592968653e-05,867.97298861,4.8961932362
17.483426388,2.0249491419e-06,50957.248721,323.39999968
17.484693336,2.9417770395e-06,87.625257966,12.112
17.484893147,1.5492574563e-05,4675.531217,14.657020279
17.487786639,1.3917120333e-05,1961.0823763,7.9322371578
17.489409911,3.0587823387e-05,1131.8498951,5.6936327511
17.491551115,2.3998155842e-05,2554.3384615,6.0315415881
