lev_id,E_calc,J,P,lev_name
132,23.921,6.5,-1,id 132 23.9210 4f3.(4I*).5d2.(1G) 4I* 6.5
133,23.984,4.5,-1,id 133 23.9840 4f3.(4F*).5d2.(3F) 6H* 4.5
134,24.0787,4.5,-1,id 134 24.0787 4f3.(4I*).5d2.(3P) 4I* 4.5
135,24.1651,5.5,-1,id 135 24.1651 4f4.(5I).6p 6K* 5.5
136,24.2683,6.5,-1,id 136 24.2683 4f3.(4F*).5d.(2D).(5H*).6s 6H* 6.5
137,24.3206,4.5,-1,id 137 24.3206 4f3.(4I*).5d2.(3P) 4I* 4.5
138,24.3884,5.5,-1,id 138 24.3884 4f4.(5I).6p 6K* 5.5
139,24.4425,6.5,-1,id 139 24.4425 4f3.(4F*).5d2.(3F) 6I* 6.5
140,24.5485,7.5,-1,id 140 24.5485 4f3.(4I*).5d2.(3F) 2K* 7.5
141,24.6183,3.5,-1,id 141 24.6183 4f3.(4I*).5d2.(1G) 4G* 3.5
142,24.6383,5.5,-1,id 142 24.6383 4f3.(4F*).5d2.(3F) 6H* 5.5
143,24.7416,6.5,-1,id 143 24.7416 4f3.(4F*).5d2.(3F) 6I* 6.5
144,24.78,8.5,-1,id 144 24.7800 4f3.(4I*).5d2.(3F) 2L* 8.5
145,24.8055,5.5,-1,id 145 24.8055 4f3.(4F*).5d.(2D).(5H*).6s 4H* 5.5
146,24.8074,4.5,-1,id 146 24.8074 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 4.5
147,24.9506,3.5,-1,id 147 24.9506 4f3.(4F*).5d2.(3F) 6P* 3.5
148,24.976,5.5,-1,id 148 24.9760 4f3.(4F*).5d2.(3F) 6H* 5.5
149,25.0259,3.5,-1,id 149 25.0259 4f4.(5I).6p 6I* 3.5
150,25.0768,5.5,-1,id 150 25.0768 4f3.(4I*).5d2.(3P) 4I* 5.5
151,25.0885,3.5,-1,id 151 25.0885 4f3.(4I*).5d2.(1D) 4G* 3.5
152,25.1283,7.5,-1,id 152 25.1283 4f3.(4F*).5d.(2D).(5H*).6s 6H* 7.5
153,25.178,4.5,-1,id 153 25.1780 4f3.(4F*).5d.(2D).(5G*).6s 6G* 4.5
154,25.1987,5.5,-1,id 154 25.1987 4f3.(4F*).5d2.(3F) 6H* 5.5
